j,CoffeeName,Producer,Process,Country,VARIETAL,REGION,ALTITUDE,HARVET,PROCESING,URL,Roaster,TastingNotes
1,        ,          IVAN MOLANO,NA,        Las Pulgas,Caturra,"Planadas, Tolima","2,070 masl","July, 2019",Hand picked at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Dried on raised beds until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/las-pulgas,Sey Coffee," a satisfying subtle acidity,  chocolate mouthfeel,  rounded out with red fruit,  soft, beautiful"
2,        ,          UGO BEGNE,NA,        Yabitu Koba,JARC Selections & Ethiopian Landrace,"Uraga, Guji","2,160 - 2,310 masl","January, 2020",Harvested at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/yabitu-koba,Sey Coffee," jasmine-like florals,  layered with ripe watermelon,  singing acidity, cup"
3,        ,          GUDUBA WET MILL,NA,        Benti Nenka,Ethiopian Landrace,"Hambela Wamena, Guji",1925 - 2110 masl,"October, 2019",Harvested at peak ripeness. Floated. Depulped. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/benti-nenka,Sey Coffee," excellent complexity of fruits—ripe peach,  melon—and a long vanilla finish,  sings with bergamot acidity,  star fruit, Guji"
4,        ,          SUKE,NA,        SEY x Street Dreams,Ethiopian Landrace,"Uraga, Guji","1,900 - 2,150 masl",October 2019 - January 2020,Harvested at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Wet fermented for 36-48 hours. Dried on raised beds for 20 days.,https://www.seycoffee.com/collections/archived-coffees/products/suke,Sey Coffee," crisp acidity while ranging in flavor from melon,  stone fruit to bright tropical fruits throughout, bright"
5,        ,          HEZA,NA,        Gitwe Hill,"Mibirizi, Red Bourbon",Heza,"1,859 - 2,098 masl","April 6, 10, 12, and 15, 2019",Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 12-18 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/gitwe-hill,Sey Coffee," black tea aromatics with a good depth of sweetness,  citrus-like acidity,  ripe tropical fruit, sparkling"
6,        ,          ENRIQUE MERINO,NA,        Lugmapata,Sidra,Pallatanga,"1,700 masl","July - September, 2019",Hand picked at peak ripeness. Floated. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-sidra,Sey Coffee," a whisper of delicate florals,  almost wine-like acidity,  red berries, heavy"
7,        ,          Danche,NA,        Lot #8,Ethiopian Landrace,"Gedeb, Gedeo","2,200 masl","January, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Fermented underwater for 36 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/danche-lot-8,Sey Coffee," a lively citrus acidity,  peach,  watermelon, florals"
8,        ,          ALEJANDRO RENJIFO,NA,        Reina de Saba,Gesha,"Santa Monica, San Agustín","1,800 masl","Main; January, 2021",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/reina-de-saba-gesha,Sey Coffee," citrus oil,  fresh peach,  honeysuckle,  ripe strawberry, jasmine"
9,        ,          Mario Moreno,NA,        Piedras Amarillas,Pacas,Santa Bárbara,"1,650 masl","June, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/piedras-amarillas-pacas-2020,Sey Coffee," blackberry,  orange blossom honey, lychee"
10,        ,          Mario Moreno,NA,        Lote Sofia,Pacas,Santa Bárbara,"1,650 masl","June, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/lote-sofia,Sey Coffee," a lively pineapple-like acidity,  grape,  molasses, sweetness"
11,        ,          Esayas Beriso,NA,        BUKU SAYISA,Ethiopian Landrace,"Hambela Wamena, Guji","2,350 masl","January, 2022","Harvested at peak ripeness. Hand sorted. Depulped. Wet fermented for up to 72 hours, washed in channels, and graded by density. Lower density seeds will float and are removed, leaving only the denser, higher quality, seeds which are then separated as higher grade lots. Soaked for two hours after fermentation. Dried for ten days in two centimeter layers, and hand sorted one final time.",https://www.seycoffee.com/collections/archived-coffees/products/buku-sayisa,Sey Coffee," lively,  nectarine,  ripe raspberry,  with notes of sweet peach tea, expressive"
12,        ,          ENRIQUE MERINO,NA,        Lugmapata,Mejorado,Pallatanga,"1,700 masl","July - September, 2020",Hand picked at peak ripeness. Floated to further remove defects. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-mejorado-2020,Sey Coffee," aromatic coffee is almost Gesha-like in structure,  jasmine,  lemongrass,  with notes of fresh bergamot, floral"
13,        ,          Alejandro Renjifo,NA,        REINA DE SABA,Gesha,"Santa Monica, San Agustín","1,800 masl","March, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/reina-de-saba-gesha-2022,Sey Coffee," articulated acidity,  more than enough sweetness to balance it all out,  peach,  ripe berries,  star fruit, florals"
14,        ,          Dumerso,NA,        ,Ethiopian Landrace,"Gedeo, Yirgacheffe","2,200 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects and seperate by density. Highest quality cherries are then hand sorted. Depulped leaving mucilage intact. Fermented for a very short time. Dried on raised beds for 4-9 days until the coffee reaches ~10% moisture content.,https://www.seycoffee.com/collections/archived-coffees/products/dumerso-honey,Sey Coffee," apple blossom,  papaya,  watermelon, guava"
15,        ,        Halo,Washed,        Ethiopia,Ethiopian Landrace,"Gedeb, Yirgacheffe","1,900 - 2,210 masl","January, 2019",Hand picked at peak ripeness. Fermented underwater for 24-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/halo,Sey Coffee," cleaner side of the profiles we see from Gedeb,  crisp, bright"
16,        ,          Jhon Alexander Montoya,NA,        LA ESTRELLA,Chiroso,Urrao,"1,900 masl","January, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Depulped coffee is collected and fermented over the course of five days in a process called ‘cochada'. Dried on raised beds until moisture content reaches ~10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/jhon-alexander-montoya,Sey Coffee," jasmine,  orange tropical fruit,  red berries, yellow"
17,        ,          LA FAMILIA RODRIGUEZ,NA,        Alasitas,Caturra,"La Paz, Caranavi","1,600 masl","June, 2019",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 20 hours. Dried on raised beds for 25 days.,https://www.seycoffee.com/collections/archived-coffees/products/alasitas,Sey Coffee," a lingering chocolate finish,  whisper of rose florality, articulation"
18,        ,        Worka Chelbesa,WASHED,        Ethiopia,Ethiopian Landrace,"Gedeb, Gedeo","1,900 - 2,200 masl","December, 2020","Harvested at peak ripeness. Hand sorted, then floated to further remove defects. Depulped. Half of this lot was fermented in the traditional Ethiopian manner: fully submerged in water for 36-48 hours. The other half was dry fermented for 36-48 hours. The lots were then blended and dried on raised beds until moisture content reaches 10.5%.",https://www.seycoffee.com/collections/archived-coffees/products/worka-chelbesa,Sey Coffee," a peach-like brightness ,  red tea,  with deeper tropical fruit, florality"
19,        ,          Layo Teraga,NA,        HAWATA,Ethiopian Landrace,"Uraga, Guji","2,300 masl","January, 2022","Harvested at peak ripeness. Hand sorted, then floated to further remove defects. Depulped. Wet fermented for 48-72 hours. Soaked in clean water for five hours. Dried on raised beds until moisture content reaches 10.5%.",https://www.seycoffee.com/collections/archived-coffees/products/layo-teraga-2022,Sey Coffee," hibiscus florality,  peach juice, lemonade"
