Roaster,CoffeeName,Country,Region,Farm,Producer,Variety,Processing,Altitude,TastingNotes,HarvestTime,Certification,Latitude,Bean
8MDT,El Eden,Nicaragua,Pueblo Nuevo,El Eden,Lester Gonzalez,Pacamara,Natural,1300,"black cherry, cranberry, milk chocolate",,,,
8MDT,Guduba,Ethiopia,Guji,Various,Guduba Wet Mill,"Wolisho, Dega",Washed,1900 - 2100,"green grape, grapefruit, chamomile",,,,
Kittel,Kayon Mountain,Ethiopia,Shakiso,Kayon Mountain,Ismael Hassen Aredo,Heirloom,Natural,1950 - 2200,"blackberry, tea, basil",,,,
Kittel,Palmichal,Costa Rica,Tarrazu,Finca La Cuesta,Gabriel Gamboa Nunez,Caturra,Anaerobic Honey,1450,"cinnamon, butter shortbread, caramel apple",,,,
Kittel,Gemelos,Guatemala,Huehuetenango,Finca Nueva Armenia,Jorge and Javier Recinos Leonardo,Red Bourbon,Washed,1450 - 1500,"dark chocolate, raisin, spices",,,,
Le Bruloir LABO,Perou,Peru,Utcubamba,El Nogal,Eli Gallardo Rojas,"Castillo, Catimor",Washed,1500 - 1600,"caramelized sugar, mandarine, toasted bread",,,,
Le Bruloir LABO,Honduras,Honduras,,Las Penas,Sara Priscila Cerato Diaz,Parainema,Washed,,"maple butter, hazelnut, citrus",,,,
Tunnel,Bouquet,Ethiopia,Jimma,Kata Muduga Multi-purpose Farmers' Cooperative Union,Tua Tesso Coop,Heirloom,Washed,1980 - 2000,"orange, grapefruit, caramel",,,,
Pista,Geraldo Casagrande,Brazil,Espirito Santo,,Geraldo Casagrande,Various,Washed,1000,"chocolate, cookie, caramel",,,,
Pista,Wush Wush,Colombia,Tolima,Finca La Esperanza,"Ave Cafes, Kelly Perez et Juan Torres",Wush Wush,Anaerobic Washed,1850,"marzipan, banana, orange blossom",,,,
Kujira,Guatemala - Huehuetenango,Guatemala,Huehuetenango,La Providencia,Famille Palacios,"Bourbon, Caturra",Washed,1500,"caramel, hazelnut, peach",,,,
Balance,Popayan,Colombia,Popayan,Various,Various,"Caturra, Castillo",Washed,1650 - 2100,"chocolate, black cherry, lemon",,,,
Balance,Arusha,Tanzania,Arusha,Various,Various,Various,Washed,1400 - 1800,"grapefruit, plum, black tea",,,,
Café Lanterne,Dosha,Ethiopia,Kaffa,Tega and Tula,Ahadu Woubhset,"74110, 74112, Bunawashi",Washed,1830 - 1890,"caramel, floral, citrus",,,,
Pista,Fugi Ikizere Naturel,Rwanda,Nyaruguru,Ikizere,,Red Bourbon,Natural,1850,"guava, honeydew, hibiscus",,,,
Pista,Fugi Ikizere Lave,Rwanda,Nyaruguru,Ikizere,,Red Bourbon,Washed,1850,"apricot, green apple, jasmine",,,,
Pista,Mandarine,Colombia,Armenia,Finca La Isabelita,David Correal,Castillo,Anaerobic Natural,1500 - 1600,"zest, marmalade, bergamot",,,,
94 Celcius,Mexique - Rosalba Cifuentes,Mexico,Chiapas,Multiple Women Producers,Rosalba Cifuentes,"Typica, Bourbon, Caturra",Washed,1550 - 1750,"brown sugar, apple, maple syrup",,,,
Saint-Henri,Brayan Meneces,Colombia,"La Union, Narino",Santa Ana,Brayan Meneces,"Colombia, Castillo",Washed,1960,"meyer lemon, honey, hazelnut",,,,
Saint-Henri,Patricia Perez,Guatemala,Huehuetenango,El Diamante,Patricia Perez,"Bourbon, Caturra",Washed,1950,"fudge, yellow plum, praline",,,,
Traffic,Alberto Guardia,Costa Rica,Alajuela,Hacienda Sonora,Alberto Guardia,Venecia,Honey,1300,"apple ice wine, caramel, tropical fruit",,,,
Monkland,Narino,Colombia,"Buesaco, Narino",Finca Lomo de Buey,Lomo de Buey,Caturra,Washed,2000,"pear, floral, tangerine",,,,
Kujira,Éthiopie - Yirgacheffe,Ethiopia,Yirgacheffe,Aricha Washing Station,Various,"Heirloom, 74110, 74112",Washed,1900 - 2200,"floral, citrus, black tea",,,,
Pista,Miguel Rodriguez,Guatemala,Mataquescuintla,Quebrada Onda,Miguel Rodriguez,Catuai,Washed,1800,"caramel, nut, dark chocolate",,,,
Zab Café,Perou - Pena & Paico,Peru,Cajamarca,,Miguel Minga Peña & Santos Paico Paico,"Typica, Pache, Caturra",Washed,1700 - 1900,"honeysuckle, cacao, syrupy",,,,
