Roaster,CoffeeName,Country,Region,Producer,Variety,Processing,Altitude,TastingNotes,HarvestTime,Certification,Latitude,Bean
Verve Coffee Roasters,Colombia El Progreso,Colombia,"El Mirador, Huila",Ricardo Montano Tovar,"Castillo, Colombia",Washed,1750,"Cherry, cola, lime zest",August - December,,,
Joe Coffee,Great Heights,Brazil,"Cerrado Mineiro, Minas Gerais",The Veloso Family,Red Catuai,Natural,1066,"Chocolate fudge, molasses, cinnamon",May - July,Rainforest Alliance,,
Greater Goods Coffee Co.,Good Vibes (Brasil),Brazil,"Serra Do Cigano, Sao Paulo",Fazenda Ambiental Fortaleza (FAF),"Icatu, Yellow Catuai, Red Catuai ",Natural,1200 - 1340,"Nutty, dark chocolate, full-bodied",,,,
Stay Golden Coffee Co.,La Concordia,Mexico,"La Concordia, Chiapas",,"Typica, Bourbon, Caturra",Washed,1200,"Tart cherry, chocolate, bright",,,,
Panther Coffee,Suke Quto,Ethiopia,"Guji Zone, Oromia",Various smallholders,Indigenous Varieties,Washed,2200,"Lemon, peach, orange zest, guava, silky, juicy, floral",January,,5° 40' N,
Red Bay Coffee,MotherLand,Burundi,Rutana Province,Ndago Cooperative,Bourbon,Washed,,"Orange blossom, turbinado sugar, damson plum",,,,
Klatch Coffee,Colombia Coffee for Peace,Colombia,Bolivar,,Castillo,Washed,1500,"Lime, chocolate, nectarine",,,,
Stay Golden Coffee Co.,Paubrasil,Brazil,Cerrado Mineiro,,Catuai,Natural,1250 - 2000,"Cherry, milk chocolate, sweet",,,,
Verve Coffee Roasters,Nicaragua Buenos Aires,Nicaragua,"Jinotega, Nueva Segovia",Luis Emelio and Olman Valladarez,Caturra,Washed,1200 - 1500,"Mulberry, maple, layered",December - March,,,
Broadsheet Coffee Roasters,Heyilu Butiya,Ethiopia,"Jemijemo, Yirgacheffe",Heyilu Butiya,Heirloom Varietals,Natural/Dry Processed,,"Grape, dark cherry, golden syrup",,,,
Caffe Vita,Yopno Uruwa Som,Papua New Guinea,Huon Peninsula,,"Typica, Bourbon St Raymond",Natural/Dry Processed,1200 - 1500,"Walnut, dark honey, brown sugar",May - August,,,
Blueprint Coffee,Ejo Heza,Rwanda,Rutsiro,Kopakama Cooperative,"Bourbon, Jackson",Washed,1600 - 1900,"Key lime, dark fruit, honey",April - June,,,
Blueprint Coffee,Seis Familias,Costa Rica,Tarrazu,"Paul Ureña, Verny Navarro, Daniela Gutierrez, Carlos Castro, Leo Mora, Allan Vargas","Catuai, Caturra",Honey,1650,"Cranberry, brown sugar",February,,,
Sparrows Coffee,Colombia Cauca,Colombia,Cauca,,"Castillo, bourbon, typica",Washed,,"Brown sugar, citrus",,,,
